Timestamp,Weight(g)
2024-12-25 21:12:40,812.29
2024-12-25 21:12:41,811.21
2024-12-25 21:12:42,773.02
2024-12-25 21:12:43,794.80
2024-12-25 21:12:44,779.26
2024-12-25 21:12:45,788.01
2024-12-25 21:12:46,783.29
2024-12-25 21:12:47,779.71
2024-12-25 21:12:48,778.07
2024-12-25 21:12:49,770.36
2024-12-25 21:12:50,774.18
2024-12-25 21:12:51,808.58
2024-12-25 21:12:52,804.70
2024-12-25 21:12:53,787.75
2024-12-25 21:12:54,781.17
2024-12-25 21:12:55,778.73
2024-12-25 21:12:56,788.29
2024-12-25 21:12:57,774.84
2024-12-25 21:12:58,793.73
2024-12-25 21:12:59,793.33
2024-12-25 21:13:00,771.81
2024-12-25 21:13:01,776.48
2024-12-25 21:13:02,768.73
2024-12-25 21:13:03,790.13
2024-12-25 21:13:04,785.65
2024-12-25 21:13:05,784.12
2024-12-25 21:13:06,785.78
2024-12-25 21:13:07,777.59
2024-12-25 21:13:09,757.71
2024-12-25 21:13:10,767.17
2024-12-25 21:13:11,799.98
2024-12-25 21:13:12,783.25
2024-12-25 21:13:13,774.44
2024-12-25 21:13:14,818.71
2024-12-25 21:13:15,818.40
2024-12-25 21:13:16,818.58
2024-12-25 21:13:17,819.97
2024-12-25 21:13:18,781.88
2024-12-25 21:13:19,802.49
2024-12-25 21:13:20,782.42
2024-12-25 21:13:21,758.57
2024-12-25 21:13:22,783.61
2024-12-25 21:13:23,772.27
2024-12-25 21:13:24,764.38
2024-12-25 21:13:25,778.78
2024-12-25 21:13:26,775.42
2024-12-25 21:13:27,793.35
2024-12-25 21:13:28,798.09
2024-12-25 21:13:29,797.19
2024-12-25 21:13:30,799.17
2024-12-25 21:13:31,788.65
2024-12-25 21:13:32,748.49
2024-12-25 21:13:33,709.84
2024-12-25 21:13:34,732.50
2024-12-25 21:13:35,806.12
2024-12-25 21:13:36,799.03
2024-12-25 21:13:37,796.90
2024-12-25 21:13:39,796.97
2024-12-25 21:13:40,776.10
2024-12-25 21:13:41,745.84
2024-12-25 21:13:42,780.85
2024-12-25 21:13:43,769.45
2024-12-25 21:13:44,772.34
2024-12-25 21:13:45,822.35
2024-12-25 21:13:46,819.51
2024-12-25 21:13:47,808.28
2024-12-25 21:13:48,810.10
2024-12-25 21:13:49,791.32
2024-12-25 21:13:50,787.36
2024-12-25 21:13:51,780.88
2024-12-25 21:13:52,795.83
2024-12-25 21:13:53,816.63
2024-12-25 21:13:54,815.09
2024-12-25 21:13:55,821.32
2024-12-25 21:13:56,799.98
2024-12-25 21:13:57,793.29
2024-12-25 21:13:58,806.63
2024-12-25 21:13:59,816.80
2024-12-25 21:14:00,805.33
2024-12-25 21:14:01,795.01
2024-12-25 21:14:02,820.77
2024-12-25 21:14:03,811.49
2024-12-25 21:14:04,785.38
2024-12-25 21:14:05,799.87
2024-12-25 21:14:06,796.72
2024-12-25 21:14:08,794.02
2024-12-25 21:14:09,795.27
2024-12-25 21:14:10,791.74
2024-12-25 21:14:11,788.94
2024-12-25 21:14:12,796.06
2024-12-25 21:14:13,785.05
2024-12-25 21:14:14,805.02
2024-12-25 21:14:15,799.45
2024-12-25 21:14:16,794.93
2024-12-25 21:14:17,790.94
2024-12-25 21:14:18,779.42
2024-12-25 21:14:19,767.42
2024-12-25 21:14:20,776.44
2024-12-25 21:14:21,786.84
2024-12-25 21:14:22,782.61
2024-12-25 21:14:23,777.62
2024-12-25 21:14:24,781.63
2024-12-25 21:14:25,758.83
2024-12-25 21:14:26,711.29
2024-12-25 21:14:27,762.24
2024-12-25 21:14:28,816.17
2024-12-25 21:14:29,803.87
2024-12-25 21:14:30,794.26
2024-12-25 21:14:31,809.61
2024-12-25 21:14:32,806.66
2024-12-25 21:14:33,805.37
2024-12-25 21:14:34,797.49
2024-12-25 21:14:35,786.92
2024-12-25 21:14:37,796.87
2024-12-25 21:14:38,789.49
2024-12-25 21:14:39,792.91
2024-12-25 21:14:40,792.45
2024-12-25 21:14:41,755.03
2024-12-25 21:14:42,712.06
2024-12-25 21:14:43,782.77
2024-12-25 21:14:44,792.50
2024-12-25 21:14:45,786.56
2024-12-25 21:14:46,782.59
2024-12-25 21:14:47,751.86
2024-12-25 21:14:48,720.09
2024-12-25 21:14:49,660.14
2024-12-25 21:14:50,738.13
2024-12-25 21:14:51,723.90
2024-12-25 21:14:52,818.73
2024-12-25 21:14:53,821.23
2024-12-25 21:14:54,805.53
2024-12-25 21:14:55,783.69
2024-12-25 21:14:56,796.93
2024-12-25 21:14:57,796.85
2024-12-25 21:14:58,785.81
2024-12-25 21:14:59,789.73
2024-12-25 21:15:00,791.47
2024-12-25 21:15:01,783.79
2024-12-25 21:15:02,783.80
2024-12-25 21:15:03,692.24
2024-12-25 21:15:04,745.22
2024-12-25 21:15:05,761.58
2024-12-25 21:15:07,782.69
2024-12-25 21:15:08,777.97
2024-12-25 21:15:09,773.72
2024-12-25 21:15:10,817.72
2024-12-25 21:15:11,800.33
2024-12-25 21:15:12,745.78
2024-12-25 21:15:13,750.55
2024-12-25 21:15:14,742.48
2024-12-25 21:15:15,825.45
2024-12-25 21:15:16,824.91
2024-12-25 21:15:17,810.77
2024-12-25 21:15:18,816.40
2024-12-25 21:15:19,823.31
2024-12-25 21:15:20,801.98
2024-12-25 21:15:21,792.56
2024-12-25 21:15:22,792.71
2024-12-25 21:15:23,785.60
2024-12-25 21:15:24,776.13
2024-12-25 21:15:25,791.11
2024-12-25 21:15:26,787.12
2024-12-25 21:15:27,779.38
2024-12-25 21:15:28,803.68
2024-12-25 21:15:29,793.76
2024-12-25 21:15:30,885.63
2024-12-25 21:15:31,790.51
2024-12-25 21:15:32,778.28
2024-12-25 21:15:33,743.25
2024-12-25 21:15:34,755.38
2024-12-25 21:15:36,796.89
2024-12-25 21:15:37,795.67
2024-12-25 21:15:38,803.32
2024-12-25 21:15:39,780.64
2024-12-25 21:15:40,789.52
2024-12-25 21:15:41,793.04
2024-12-25 21:15:42,785.21
2024-12-25 21:15:43,781.89
2024-12-25 21:15:44,780.40
2024-12-25 21:15:45,772.75
2024-12-25 21:15:46,1472.99
2024-12-25 21:15:47,774.39
2024-12-25 21:15:48,748.51
2024-12-25 21:15:49,741.98
2024-12-25 21:15:50,698.98
2024-12-25 21:15:51,664.44
2024-12-25 21:15:52,638.69
2024-12-25 21:15:53,792.42
2024-12-25 21:15:54,812.19
2024-12-25 21:15:55,826.15
2024-12-25 21:15:56,805.43
2024-12-25 21:15:57,779.99
2024-12-25 21:15:58,772.82
2024-12-25 21:15:59,786.62
2024-12-25 21:16:00,788.23
2024-12-25 21:16:01,781.08
2024-12-25 21:16:02,778.50
2024-12-25 21:16:03,774.51
2024-12-25 21:16:04,778.13
2024-12-25 21:16:06,748.98
2024-12-25 21:16:07,727.82
2024-12-25 21:16:08,762.94
2024-12-25 21:16:09,757.86
2024-12-25 21:16:10,810.23
2024-12-25 21:16:11,812.50
2024-12-25 21:16:12,794.66
2024-12-25 21:16:13,783.83
2024-12-25 21:16:14,786.89
2024-12-25 21:16:15,767.31
2024-12-25 21:16:16,779.87
2024-12-25 21:16:17,769.95
2024-12-25 21:16:18,802.10
2024-12-25 21:16:19,814.38
2024-12-25 21:16:20,811.46
2024-12-25 21:16:21,786.88
2024-12-25 21:16:22,776.13
2024-12-25 21:16:23,783.55
2024-12-25 21:16:24,789.59
2024-12-25 21:16:25,768.15
2024-12-25 21:16:26,770.14
2024-12-25 21:16:27,779.67
2024-12-25 21:16:28,766.20
2024-12-25 21:16:29,791.06
2024-12-25 21:16:30,783.88
2024-12-25 21:16:31,787.84
2024-12-25 21:16:32,782.82
2024-12-25 21:16:33,779.29
2024-12-25 21:16:35,775.41
2024-12-25 21:16:36,775.57
2024-12-25 21:16:37,761.31
2024-12-25 21:16:38,796.26
2024-12-25 21:16:39,777.70
2024-12-25 21:16:40,776.68
2024-12-25 21:16:41,784.75
2024-12-25 21:16:42,800.89
2024-12-25 21:16:43,796.38
2024-12-25 21:16:44,803.95
2024-12-25 21:16:45,781.52
2024-12-25 21:16:46,749.14
2024-12-25 21:16:47,754.69
2024-12-25 21:16:48,760.83
2024-12-25 21:16:49,796.08
2024-12-25 21:16:50,795.10
2024-12-25 21:16:51,794.25
2024-12-25 21:16:52,787.13
2024-12-25 21:16:53,788.95
2024-12-25 21:16:54,790.38
2024-12-25 21:16:55,787.39
2024-12-25 21:16:56,774.64
2024-12-25 21:16:57,782.00
2024-12-25 21:16:58,784.39
2024-12-25 21:16:59,787.55
2024-12-25 21:17:00,802.05
2024-12-25 21:17:01,788.72
2024-12-25 21:17:02,780.37
2024-12-25 21:17:04,762.82
2024-12-25 21:17:05,768.52
2024-12-25 21:17:06,781.41
2024-12-25 21:17:07,789.47
2024-12-25 21:17:08,792.59
2024-12-25 21:17:09,750.42
2024-12-25 21:17:10,744.75
2024-12-25 21:17:11,764.79
2024-12-25 21:17:12,801.07
2024-12-25 21:17:13,809.76
2024-12-25 21:17:14,804.77
2024-12-25 21:17:15,798.74
2024-12-25 21:17:16,806.55
2024-12-25 21:17:17,790.96
2024-12-25 21:17:18,795.99
2024-12-25 21:17:19,796.75
2024-12-25 21:17:20,798.22
2024-12-25 21:17:21,789.75
2024-12-25 21:17:22,787.85
